DEL_all_focal_FAM46C	DEL_all_focal_CDKN2C	DEL_all_focal_FAF1	DEL_all_focal_RB1	DEL_all_focal_TRAF3	DEL_all_focal_CYLD	DEL_all_focal_TP53
X20131126_Cytoscan_MM_357_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131126_Cytoscan_MM_358_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131126_Cytoscan_MM_359_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131126_Cytoscan_MM_360_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131126_Cytoscan_MM_361_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20131209_Cytoscan_MM_362_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20131209_Cytoscan_MM_363_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131209_Cytoscan_MM_364_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20131209_Cytoscan_MM_365_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20131209_Cytoscan_MM_366_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131209_Cytoscan_MM_367_.CytoScanHD_Array.	0	0	0	1	0	1	1
X20131209_Cytoscan_MM_368_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20131209_Cytoscan_MM_369_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20140107_Cytoscan_MM_Flores_370_.CytoScanHD_Array.	1	1	1	1	0	1	1
X20140107_Cytoscan_MM_Flores_371_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20140107_Cytoscan_MM_Flores_372_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20140204_MART_MM_Cyto373_.CytoScanHD_Array.	1	1	1	1	1	0	0
X20140204_MART_MM_Cyto374_.CytoScanHD_Array.	0	1	1	0	0	0	0
X20140204_MART_MM_Cyto375_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140204_MART_MM_Cyto376_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140204_MART_MM_Cyto377_.CytoScanHD_Array.	1	1	1	0	0	0	0
X20140204_MART_MM_Cyto378_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140204_MART_MM_Cyto379_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140204_MART_MM_Cyto380_.CytoScanHD_Array.	1	0	0	1	1	0	0
X20140217_MART_MM_Cyto382_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20140217_MART_MM_Cyto383_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20140217_MART_MM_Cyto384_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20140217_MART_MM_Cyto385_.CytoScanHD_Array.	1	0	0	1	1	0	1
X20140217_MART_MM_Cyto386_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140217_MART_MM_Cyto387_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140310_MART_MM_Cyto388_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20140310_MART_MM_Cyto389_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20140310_MART_MM_Cyto390_.CytoScanHD_Array.	0	1	1	1	1	0	0
X20140310_MART_MM_Cyto391_.CytoScanHD_Array.	1	1	1	1	1	1	0
X20140310_MART_MM_Cyto392_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140310_MART_MM_Cyto394_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20140319_MART_MM_Cyto396_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20140319_MART_MM_Cyto397_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140319_MART_MM_Cyto398_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140319_MART_MM_Cyto399_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140319_MART_MM_Cyto400_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20140319_MART_MM_Cyto401_.CytoScanHD_Array.	1	1	1	1	1	1	0
X20140414_MART_MM_Cyto412_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20140414_MART_MM_Cyto413_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20140414_MART_MM_Cyto414_.CytoScanHD_Array.	1	0	0	0	0	1	1
X20140414_MART_MM_Cyto415_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140527_MART_MM_Cyto416_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20140527_MART_MM_Cyto417_.CytoScanHD_Array.	0	1	0	1	0	1	0
X20140527_MART_MM_Cyto418_.CytoScanHD_Array.	0	0	0	1	1	1	1
X20140527_MART_MM_Cyto419_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140527_MART_MM_Cyto420_.CytoScanHD_Array.	1	1	1	1	0	1	0
X20140527_MART_MM_Cyto421_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20140616_MART_MM_Cyto422_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20140616_MART_MM_Cyto423_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20140616_MART_MM_Cyto427_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20150305_MG_MM_Cyto430_.CytoScanHD_Array.	1	0	0	1	1	0	0
X20150305_MG_MM_Cyto431_.CytoScanHD_Array.	0	1	1	1	0	0	0
X20150305_MG_MM_Cyto432_.CytoScanHD_Array.	0	1	0	0	0	0	0
X20150305_MG_MM_Cyto434_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20150305_MG_MM_Cyto435_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20150305_MG_MM_Cyto436_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150326_MG_MM_Cyto438_.CytoScanHD_Array.	1	0	0	0	0	0	1
X20150326_MG_MM_Cyto439_.CytoScanHD_Array.	1	1	1	1	1	1	1
X20150326_MG_MM_Cyto440_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150326_MG_MM_Cyto441_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20150326_MG_MM_Cyto442_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150326_MG_MM_Cyto444_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150326_MG_MM_Cyto445_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20150422_MG_MM_Cyto446_.CytoScanHD_Array.	0	0	0	0	0	0	1
X20150422_MG_MM_Cyto447_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150422_MG_MM_Cyto448_.CytoScanHD_Array._2	0	0	0	0	0	0	0
X20150422_MG_MM_Cyto449_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150422_MG_MM_Cyto451_.CytoScanHD_Array.	0	0	0	1	1	1	1
X20150422_MG_MM_Cyto452_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150519_MG_MM_Cyto454_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto455_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto457_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto458_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto459_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20150519_MG_MM_Cyto460_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20150519_MG_MM_Cyto461_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto463_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150519_MG_MM_Cyto464_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20150519_MG_MM_Cyto465_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150519_MG_MM_Cyto466_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150519_MG_MM_Cyto467_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20150623_MART_MM_Cyto474_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20150708_MG_MM_Cyto484_.CytoScanHD_Array.	1	0	0	1	1	1	1
X20150708_MG_MM_Cyto485_.CytoScanHD_Array.	0	1	1	1	0	1	0
X20150708_MG_MM_Cyto487_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150708_MG_MM_Cyto488_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150708_MG_MM_Cyto492_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20150708_MG_MM_Cyto493_.CytoScanHD_Array.	1	1	1	1	0	1	0
X20150708_MG_MM_Cyto495_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20151105_MART_MM_Cyto518_.CytoScanHD_Array.	0	1	0	1	0	0	0
X20151105_MART_MM_Cyto520_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20151105_MART_MM_Cyto521_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20151105_MART_MM_Cyto522_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20151105_MART_MM_Cyto523_.CytoScanHD_Array.	1	0	0	0	1	0	0
X20151105_MART_MM_Cyto525_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20151105_MART_MM_Cyto526_.CytoScanHD_Array.	1	1	0	0	0	0	0
X20151105_MART_MM_Cyto527_.CytoScanHD_Array.	0	0	0	1	1	0	1
X20151105_MART_MM_Cyto528_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20151105_MART_MM_Cyto529_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20151105_MART_MM_Cyto530_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20151216_MART_MM_Cyto535_.CytoScanHD_Array.	1	1	1	1	1	1	1
X20160126_MG_MM_Cyto543_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20160126_MG_MM_Cyto544_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20160126_MG_MM_Cyto545_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20160126_MG_MM_Cyto548_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20160309_MG_MM_Cyto556_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20160309_MG_MM_Cyto557_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20160503_MG_MM_Cyto561_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20160503_MG_MM_Cyto562_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20160503_MG_MM_Cyto563_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20160503_MG_MM_Cyto564_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20160503_MG_MM_Cyto565_.CytoScanHD_Array.	1	0	0	1	1	1	0
X20160704_MG_MM_Cyto577_.CytoScanHD_Array.	0	1	1	1	1	0	0
X20160704_MG_MM_Cyto582_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20160725_MG_MM_Cyto592_.CytoScanHD_Array.	1	1	1	1	0	0	0
X20160725_MG_MM_Cyto601_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20160727_MG_MM_Cyto598b_.CytoScanHD_Array.	1	1	1	1	1	1	1
X20160727_MG_MM_Cyto604_.CytoScanHD_Array.	0	1	1	1	1	0	0
X20160727_MG_MM_Cyto605_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20160727_MG_MM_Cyto607_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20160727_MG_MM_Cyto608_.CytoScanHD_Array.	0	0	0	1	0	1	1
X20160727_MG_MM_Cyto609_.CytoScanHD_Array.	1	1	1	1	0	1	0
X20160727_MG_MM_Cyto610_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20161004_MG_MM_Cyto648_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20161004_MG_MM_Cyto675_.CytoScanHD_Array.	0	1	0	1	1	1	1
X20161004_MG_MM_Cyto677_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20161005_MG_MM_Cyto649_.CytoScanHD_Array.	1	1	1	1	0	0	0
X20161005_MG_MM_Cyto653_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161005_MG_MM_Cyto654_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20161005_MG_MM_Cyto655_.CytoScanHD_Array.	1	0	0	0	0	0	1
X20161109_MG_MM_Cyto681_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161109_MG_MM_Cyto682_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20161109_MG_MM_Cyto683_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20161109_MG_MM_Cyto684_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20161109_MG_MM_Cyto685_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20161109_MG_MM_Cyto686_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161109_MG_MM_Cyto687_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20161109_MG_MM_Cyto688_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20161109_MG_MM_Cyto689_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161109_MG_MM_Cyto690_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161109_MG_MM_Cyto691_.CytoScanHD_Array.	0	0	0	1	1	0	1
X20161109_MG_MM_Cyto692_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20161110_MG_MM_Cyto693_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161110_MG_MM_Cyto696_.CytoScanHD_Array.	0	0	0	1	0	1	1
X20161110_MG_MM_Cyto702_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20161110_MG_MM_Cyto703_.CytoScanHD_Array.	1	0	0	0	0	1	1
X20161110_MG_MM_Cyto704_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170102_MG_MM_Cyto717_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170102_MG_MM_Cyto718_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170102_MG_MM_Cyto720_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170102_MG_MM_Cyto721_.CytoScanHD_Array.	1	1	1	0	0	0	0
X20170102_MG_MM_Cyto722_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170102_MG_MM_Cyto723_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20170102_MG_MM_Cyto724_.CytoScanHD_Array.	1	1	1	0	1	0	0
X20170102_MG_MM_Cyto726_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170103_MG_MM_Cyto707_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170103_MG_MM_Cyto708_.CytoScanHD_Array.	1	0	0	0	1	0	0
X20170103_MG_MM_Cyto709_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170103_MG_MM_Cyto712_.CytoScanHD_Array.	1	1	1	0	0	1	0
X20170103_MG_MM_Cyto713_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170103_MG_MM_Cyto714_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170103_MG_MM_Cyto715_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170103_MG_MM_Cyto716_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20170605_MG_MM_Cyto762_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20170605_MG_MM_Cyto763_.CytoScanHD_Array.	1	1	1	1	0	1	1
X20170605_MG_MM_Cyto765_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20170605_MG_MM_Cyto767_.CytoScanHD_Array.	0	1	1	1	1	1	0
X20170605_MG_MM_Cyto768_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20170605_MG_MM_Cyto769_.CytoScanHD_Array.	0	1	0	1	0	1	0
X20170605_MG_MM_Cyto770_.CytoScanHD_Array.	1	1	1	1	0	1	1
X20170605_MG_MM_Cyto771_.CytoScanHD_Array.	1	0	0	0	0	1	1
X20170605_MG_MM_Cyto772_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170605_MG_MM_Cyto773_.CytoScanHD_Array.	0	1	1	0	0	0	0
X20170627_MG_MM_Cyto774_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20170627_MG_MM_Cyto775_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170627_MG_MM_Cyto776_.CytoScanHD_Array.	1	1	1	0	0	0	0
X20170627_MG_MM_Cyto778_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170704_MG_MM_Cyto784_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20170704_MG_MM_Cyto787_.CytoScanHD_Array._2	0	0	0	1	1	0	0
X20170704_MG_MM_Cyto788_.CytoScanHD_Array._2	0	1	1	0	0	0	0
X20170704_MG_MM_Cyto790_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170704_MG_MM_Cyto791_.CytoScanHD_Array.	1	0	0	0	1	0	0
X20170704_MG_MM_Cyto792_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20170704_MG_MM_Cyto793_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20170717_MG_MM_Cyto794_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170717_MG_MM_Cyto795_.CytoScanHD_Array.	1	0	0	1	1	1	0
X20170717_MG_MM_Cyto796_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20170717_MG_MM_Cyto797_.CytoScanHD_Array.	0	1	1	0	0	0	0
X20170717_MG_MM_Cyto799_.CytoScanHD_Array.	1	0	0	0	0	1	1
X20170717_MG_MM_Cyto800_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170719_MG_MM_Cyto_D1MM_.CytoScanHD_Array.	0	0	0	0	0	0	1
X20170719_MG_MM_Cyto_D3MM_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20170726_MG_MM_Cyto808_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20170726_MG_MM_Cyto810_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20170726_MG_MM_Cyto813_.CytoScanHD_Array.	0	0	0	0	0	0	0
