genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
LRRC32	ENSG00000137507	13223	-2.0365125998878155	-3.468435800110194	-3.8273498394939085	7.09231046495102e-5	0.006760431056591111
NALF2	ENSG00000130054	28182	1.8935970269255025	-5.264606473987653	3.8149313394814937	7.450463712070854e-5	0.007068006574851217
LIPH	ENSG00000163898	46326	2.1112800243279195	-3.3667651796425235	3.8078300978276345	7.662866393049969e-5	0.007212722903260209
HTR2C	ENSG00000147246	325983	2.297443912309996	-2.7935021042776995	3.8074162154493942	7.675420417082443e-5	0.007212722903260209
KLHL13	ENSG00000003096	219527	2.0506105144547173	-4.088430664900773	3.773068312835034	8.787627495064684e-5	0.008219113378247824
	ENSG00000260805	1898	1.4949135485184621	-0.8752870246429686	3.7412227463172467	9.953010024954729e-5	0.009265601201735892
	ENSG00000250493	26864	-1.8698095674302564	-2.6037907507044653	-3.739877598416188	1.000530427178516e-4	0.009270961474535067
FBXL7	ENSG00000183580	439615	2.2624800030489673	-3.92769098531182	3.734728927465414	1.0207865061272248e-4	0.009414865173641932
	ENSG00000261754	2756	1.9915254731764387	-4.4136441105433075	3.724725793077439	1.0612497747025966e-4	0.009742957609043838
OGDHL	ENSG00000197444	27738	2.1685039885040602	-2.186179919098187	3.6984872989450275	1.1746770237528993e-4	0.010734823700552872
LIFR-AS1	ENSG00000244968	114451	1.9012226297789936	-4.974375398413566	3.690870655673386	1.2096805350544054e-4	0.010993608106966058
ITPR1	ENSG00000150995	354161	-1.7406520327130224	3.0079293036167534	-3.689938398937921	1.21403161506502e-4	0.010993608106966058
GLRA3	ENSG00000145451	192327	1.9545368451671754	-4.886551566805693	3.684235009101651	1.2409728342429793e-4	0.011186724345605716
CAPN8	ENSG00000203697	127716	1.7779415246846062	-3.461536300819704	3.6774722580771892	1.2736464200147144e-4	0.011429542333123035
NLGN4Y	ENSG00000165246	323081	-2.561968308474909	-3.358736570179797	-3.6735967979644744	1.2927330266127718e-4	0.01154880150501329
ADGRL3	ENSG00000150471	878009	2.2165375382852677	-2.999132511993477	3.6674873522052516	1.3233687596850242e-4	0.011769710906448684
	ENSG00000225370	1360	1.8555560233558452	-5.630894436407285	3.6605648308016856	1.3589056231789616e-4	0.0120320523666539
	ENSG00000229191	4843	1.879851407045817	-3.4190093889716016	3.6457026013998304	1.4382515408161375e-4	0.01267825097174296
LNCOC1	ENSG00000253741	25190	1.6761249548257404	-1.4960016514469792	3.6443512113901204	1.4456780816824593e-4	0.012687576538888967
ATP2B4	ENSG00000058668	117294	1.4780745966411706	4.585497691531458	3.6371425294374355	1.4859053414244998e-4	0.01298342377713109
ADAMTS20	ENSG00000173157	198337	2.057318069723813	-4.427574341270285	3.6332225930798714	1.5082188217180304e-4	0.013120845138107686
UCHL1	ENSG00000154277	12042	2.602543530957962	2.092520082012266	3.6296942374537737	1.528571893649325e-4	0.013240090984905153
CCL25	ENSG00000131142	10342	-1.9508966861235058	-3.447246499021739	-3.6124352712802836	1.6318970326150743e-4	0.014073875620674248
MYO1E	ENSG00000157483	240437	2.0221774312132115	-0.9476176116305449	3.594068983268562	1.7490257662142953e-4	0.015019004876948789
NELL2	ENSG00000184613	413573	1.9407001119867953	-1.8988817045916921	3.569013248957667	1.9215625689719633e-4	0.016429772317192896
PIF1	ENSG00000140451	10036	-1.501384269831473	3.6236261174420936	-3.566723872073909	1.93809808597916e-4	0.016500337636272146
METTL27	ENSG00000165171	7926	2.0049494067804963	-2.6423203191039772	3.565450956835686	1.94734954761323e-4	0.01650855220746841
SOCS3-DT	ENSG00000266970	13494	1.7803846643384373	-5.29530780616262	3.5619225223999833	1.9732106598838116e-4	0.016656907951781905
IGLV7-46	ENSG00000211649	473	-2.0487873832572667	-0.40718531968529803	-3.5598917229155935	1.9882405589859666e-4	0.01671296557642128
NRIR	ENSG00000225964	21001	-1.9627757844333202	-1.9366410725426724	-3.557099509832855	2.009080751809717e-4	0.01681718770485428
KCNK10	ENSG00000100433	146804	-2.058943011865013	-5.140363157560838	-3.5449510539629427	2.1021563756394232e-4	0.01752266080145966
KLF5	ENSG00000102554	22565	-1.7532865316244177	1.9769501976846355	-3.5152066226759433	2.3473582851295003e-4	0.01948502989847913
TMEM150B	ENSG00000180061	21247	-1.792181704823859	-1.3776366784056122	-3.4771623308924946	2.700018251846206e-4	0.022319403988912908
ARL11	ENSG00000152213	5365	-1.4528494388274444	0.6257188374591345	-3.4745809977046767	2.725655414592818e-4	0.022438226103106664
GAREM1	ENSG00000141441	346005	1.787918355025763	1.4316545325783865	3.4648628094905924	2.824226768654238e-4	0.023154010570012235
CHRNA1	ENSG00000138435	40343	-1.93961467539506	-3.87694577512216	-3.4606487174174148	2.867996039180329e-4	0.02341648241497972
S100A10	ENSG00000197747	10944	1.5361463907549173	3.8514938997629615	3.448868099047995	2.9937360732872173e-4	0.02434335104164406
SPINK5	ENSG00000133710	111699	1.9169239544494319	-0.15951748504428684	3.4371709408256037	3.1236581908489306e-4	0.025296552226866827
CNTN5	ENSG00000149972	1337936	-1.7824797493922633	3.7051908903257353	-3.43467727232286	3.152027218412684e-4	0.02542294989684919
RPL21P28	ENSG00000220749	482	-1.342367323202524	0.3231929720228021	-3.422789124253476	3.2906046439636007e-4	0.026270715851056732
SAMD7	ENSG00000187033	27603	-1.8243559167880634	-4.314956253131985	-3.4223440257188917	3.295901711755874e-4	0.026270715851056732
VSIG8	ENSG00000243284	8341	1.7515165360240914	-4.290610920742055	3.4222772910669774	3.296696598114739e-4	0.026270715851056732
LHX8	ENSG00000162624	33099	2.195130149413282	-4.896490761692945	3.4198268224908213	3.326008527094974e-4	0.02632533019913957
CACNA1E	ENSG00000198216	490394	1.716466110121482	-2.68079270605215	3.419496480903905	3.3299785213247523e-4	0.02632533019913957
C19orf81	ENSG00000235034	9865	2.15404373439607	-5.80703664955691	3.416969119363974	3.360498414900939e-4	0.026461600561919568
MOXD1	ENSG00000079931	105420	-1.685317044793626	5.110138343135784	-3.415853973666936	3.374047385115191e-4	0.026463689766246
TMCC2	ENSG00000133069	57686	1.5731666432035083	1.532267150672901	3.413384315499497	3.404235010498252e-4	0.026545452424720072
HSPD1P10	ENSG00000216990	1675	1.577403465602127	-3.592593735615403	3.4128238065640883	3.4111212833693095e-4	0.026545452424720072
DTNA	ENSG00000134769	398553	1.9960294212982066	-1.889150862817496	3.401030244051016	3.5590578995687834e-4	0.027499109206608682
ADCY1	ENSG00000164742	148976	1.882843572305155	-2.461111222128421	3.400857067179155	3.5612740564727643e-4	0.027499109206608682
	ENSG00000226025	6999	1.953028743440791	-1.1432179689797444	3.3996043698530056	3.5773432245843594e-4	0.02751653734369483
C4BPAP1	ENSG00000224462	18414	1.707142557054298	-5.962463916513725	3.3977113349191193	3.6017545782076303e-4	0.027597751810404775
	ENSG00000269761	1062	1.9267782882408104	-4.864470796342244	3.3947513352548246	3.640235897482165e-4	0.02778573929104969
RNASEH2B	ENSG00000136104	114373	-1.2050427539236663	4.515798945148967	-3.385616644355258	3.761417882398337e-4	0.028601132463030407
CTAG2	ENSG00000126890	1607	2.2425240001965996	-3.482922574225368	3.3844144267110767	3.777643359478425e-4	0.028615289356474973
ZNF571-AS1	ENSG00000267470	38434	1.7580575155979983	-3.0020452839346707	3.3769689159626735	3.87958987540509e-4	0.029189913393563128
FAM171B	ENSG00000144369	71899	1.6112456695147572	1.7757283722256108	3.3767369720022105	3.882806469879645e-4	0.029189913393563128
MCOLN3	ENSG00000055732	30418	1.815053199622512	-5.368654344629022	3.3711041857434907	3.961687821436528e-4	0.029670956683706208
LGALS9	ENSG00000168961	19762	-1.6060424786902427	2.7491549759348644	-3.365402740127594	4.043046710518041e-4	0.030166882609340976
ALOX5AP	ENSG00000132965	50948	-1.956421008140734	2.339871240454313	-3.361511412142538	4.099464758092311e-4	0.03037362536858886
ANKRD30A	ENSG00000148513	106969	1.8727911178410581	-5.716372619315287	3.3613892659276927	4.101247477236424e-4	0.03037362536858886
LIFR	ENSG00000113594	133686	2.0842125149647934	-0.52145373247604	3.356638888393626	4.1711408384225243e-4	0.030776839919649454
	ENSG00000261292	2009	-1.985192405671412	-3.3413996338991376	-3.3493256483581377	4.280909934445723e-4	0.03147021686864491
DCLK1	ENSG00000133083	362730	-2.507905816391456	-0.6450793448082991	-3.3428819824453466	4.3798460274370004e-4	0.032079151675955854
EPB41L4B	ENSG00000095203	149085	1.951608815576873	-3.618052472305304	3.340259172211724	4.420721779000031e-4	0.03225993380265151
ARL4C	ENSG00000188042	4040	1.7954917759146758	3.008477565080309	3.337040742843232	4.471364379876122e-4	0.03251040918828179
TLCD3B	ENSG00000149926	28551	1.5813080819232157	-3.2397493162336968	3.3211363275398216	4.729630773832161e-4	0.03416267750070946
PRR15	ENSG00000176532	3458	1.947925988875778	2.476107067588518	3.3209397526121225	4.732907835656968e-4	0.03416267750070946
SEZ6L2	ENSG00000174938	28391	2.128964123665318	-2.288520206602925	3.3168574066567706	4.8014421295102807e-4	0.03453224913505553
	ENSG00000245008	72582	-1.8333389071035122	-2.1340837260282535	-3.3055407781512476	4.996271620237874e-4	0.03580421698502839
	ENSG00000271046	839	-2.034081818288927	-1.4654999516700777	-3.2960875829526564	5.164616209346002e-4	0.036772672917260135
TRIM46	ENSG00000163462	11184	1.5818940062980582	-1.781821414189648	3.295229496066484	5.180154834958441e-4	0.036772672917260135
S100A6	ENSG00000197956	1645	1.568241802417691	5.7875307856647575	3.294863864497186	5.186789022061087e-4	0.036772672917260135
WDR72	ENSG00000166415	249137	2.0239109815923455	-4.092210655077858	3.292957930475644	5.221498947342448e-4	0.036887482988991575
LYSMD2	ENSG00000140280	28574	-1.8638009527718165	0.816538658078025	-3.266693828725362	5.722268962649174e-4	0.04028234709324977
	ENSG00000268088	2333	1.8434523165505565	-4.283392999793198	3.2570957362004416	5.916116801851616e-4	0.04150030948115771
	ENSG00000250546	502753	1.8614672810594146	-4.451371395229669	3.2518326148990666	6.024977740489793e-4	0.04211565141966234
PPP1R17	ENSG00000106341	21240	-2.176432807986385	-4.117704080935225	-3.247666862999011	6.112452708935583e-4	0.04242046257542533
NUPR1	ENSG00000176046	6300	-1.8463662070670241	-3.524289746188445	-3.24716882273195	6.122989176572534e-4	0.04242046257542533
BNIP3P41	ENSG00000248302	1028	-1.895648890957972	-2.663325823221917	-3.2467216784301307	6.132463217409143e-4	0.04242046257542533
UNC13A	ENSG00000130477	87029	1.751139661196107	-5.562352884652939	3.2436118963087806	6.198729197419611e-4	0.04273047857127803
TRANK1	ENSG00000168016	118238	-1.3271567651991276	5.49101886209121	-3.2359309670330023	6.365251553794541e-4	0.0437270832602396
BCL6B	ENSG00000161940	7240	1.8142502079985108	-2.565169428161023	3.2276418580106707	6.54959635837856e-4	0.04483885177031535
COL9A1	ENSG00000112280	87044	1.664459523368511	-5.8121539809604545	3.2262256603565445	6.581581326445172e-4	0.044903514789534485
GLOD5	ENSG00000171433	11901	1.5996598103889754	-6.409615003304729	3.2219819059768633	6.678294054740458e-4	0.045407841009740414
LINC00862	ENSG00000203721	147286	1.5467666693558573	-4.118233829437242	3.2161892533361183	6.812427255747693e-4	0.04597975262428295
TLL2	ENSG00000095587	149318	-1.5736258015497242	0.3068568743029399	-3.216149434237444	6.813357855593668e-4	0.04597975262428295
LINC02413	ENSG00000257345	20602	-1.6855118639622928	-3.1574539616265773	-3.2153678934364684	6.831646810956608e-4	0.04597975262428295
MNX1-AS1	ENSG00000243479	5621	1.8281830906830256	-3.564271779273028	3.2132570220658287	6.881270702642203e-4	0.04602352297828599
SERINC2	ENSG00000168528	25115	1.6591517437421341	0.6175803216391939	3.213126335469705	6.884353903990175e-4	0.04602352297828599
ABCG1	ENSG00000160179	97555	-1.8297074079439135	0.0603877598849281	-3.2080993064894474	7.00392705050303e-4	0.046666299230809824
IL12B	ENSG00000113302	15707	1.6917325563573815	-6.277055623220918	3.2051390545447687	7.075234702588994e-4	0.04698427524832598
GRIK4	ENSG00000149403	477160	-1.755201605085523	3.3036548126529026	-3.202653623585668	7.135622135428785e-4	0.04722786185448912
