sample	segment_count	included
X20120924_MART_MM_SNP209_.GenomeWideSNP_6.	45	yes
X20120924_MART_MM_SNP212_.GenomeWideSNP_6.	54	yes
X20120924_MART_MM_SNP213_.GenomeWideSNP_6.	78	yes
X20120626_MART_MM_SNP197_.GenomeWideSNP_6.	49	yes
X20120924_MART_MM_SNP214_.GenomeWideSNP_6.	60	yes
X20121008_MART_MM_SNP215_.GenomeWideSNP_6.	70	yes
X20121008_MART_MM_SNP216_.GenomeWideSNP_6.	62	yes
X20120924_MART_MM_SNP211_.GenomeWideSNP_6.	44	yes
X20121008_MART_MM_SNP217_.GenomeWideSNP_6.	50	yes
X20120510_MART_MM_SNP169_.GenomeWideSNP_6.	50	yes
X20121203_MART_MM_SNP222_.GenomeWideSNP_6.	56	yes
X20121008_MART_MM_SNP218_.GenomeWideSNP_6.	181	yes
X20120510_MART_MM_SNP170_.GenomeWideSNP_6.	33	yes
X20121008_MART_MM_SNP219_.GenomeWideSNP_6.	68	yes
X20121203_MART_MM_SNP229_.GenomeWideSNP_6.	54	yes
X20121008_MART_MM_SNP220_.GenomeWideSNP_6.	36	yes
X20121203_MART_MM_SNP230_.GenomeWideSNP_6.	59	yes
X20121008_MART_MM_SNP221_.GenomeWideSNP_6.	93	yes
X20121203_MART_MM_SNP224_.GenomeWideSNP_6.	66	yes
X20121203_MART_MM_SNP225_.GenomeWideSNP_6.	40	yes
X20120521_MART_MM_SNP174_.GenomeWideSNP_6.	36	yes
X20121203_MART_MM_SNP226_.GenomeWideSNP_6.	36	yes
X20121203_MART_MM_SNP227_.GenomeWideSNP_6.	43	yes
X20120521_MART_MM_SNP177_.GenomeWideSNP_6.	79	yes
X20121203_MART_MM_SNP228_.GenomeWideSNP_6.	46	yes
X20120521_MART_MM_SNP176_.GenomeWideSNP_6.	70	yes
X20130527_MART_MM_SNP273_.GenomeWideSNP_6.	67	yes
X20121203_MART_MM_SNP223_.GenomeWideSNP_6.	240	yes
X20130625_MART_MM_SNP281_.GenomeWideSNP_6.	55	yes
X20121203_MART_MM_SNP231_.GenomeWideSNP_6.	68	yes
X20121203_MART_MM_SNP232_.GenomeWideSNP_6.	167	yes
X20120521_MART_MM_SNP175_.GenomeWideSNP_6.	50	yes
X20121203_MART_MM_SNP234_.GenomeWideSNP_6.	78	yes
X20130527_MART_MM_SNP275_.GenomeWideSNP_6.	117	yes
X20121203_MART_MM_SNP235_.GenomeWideSNP_6.	146	yes
X20120626_MART_MM_SNP193_.GenomeWideSNP_6.	35	yes
X20130527_MART_MM_SNP276_.GenomeWideSNP_6.	117	yes
X20130527_MART_MM_SNP277_.GenomeWideSNP_6.	77	yes
X20130527_MART_MM_SNP278_.GenomeWideSNP_6.	78	yes
X20121203_MART_MM_SNP236_.GenomeWideSNP_6.	34	yes
X20121203_MART_MM_SNP238_.GenomeWideSNP_6.	61	yes
X20121203_MART_MM_SNP237_.GenomeWideSNP_6.	36	yes
X20121203_MART_MM_SNP239_.GenomeWideSNP_6.	57	yes
X20130625_MART_MM_SNP282_.GenomeWideSNP_6.	34	yes
X20130625_MART_MM_SNP283_.GenomeWideSNP_6.	40	yes
X20121203_MART_MM_SNP240_.GenomeWideSNP_6.	105	yes
X20130625_MART_MM_SNP284_.GenomeWideSNP_6.	36	yes
X20121203_MART_MM_SNP243_.GenomeWideSNP_6.	42	yes
X20121203_MART_MM_SNP244_.GenomeWideSNP_6.	97	yes
X20130625_MART_MM_SNP285_.GenomeWideSNP_6.	45	yes
X20121203_MART_MM_SNP245_.GenomeWideSNP_6.	35	yes
X20130516_MART_MM_SNP268_.GenomeWideSNP_6.	74	yes
X20121203_MART_MM_SNP246_.GenomeWideSNP_6.	120	yes
X20130625_MART_MM_SNP286_.GenomeWideSNP_6.	54	yes
X20121203_MART_MM_SNP248_.GenomeWideSNP_6.	40	yes
X20121203_MART_MM_SNP249_.GenomeWideSNP_6.	65	yes
X20130717_MART_AL_SNP289_.GenomeWideSNP_6.	39	yes
X20130717_MART_AL_SNP290_.GenomeWideSNP_6.	27	yes
X20130527_MART_MM_SNP272_.GenomeWideSNP_6.	108	yes
X20090422_MM7_SNP6.0_.GenomeWideSNP_6.	65	yes
X20121203_MART_MM_SNP242_.GenomeWideSNP_6.	62	yes
X20090728_MART_MM_SNP32_.GenomeWideSNP_6.	32	yes
X20110920_MART_MM_SNP128_.GenomeWideSNP_6.	50	yes
X20110404_MART_MM_SNP84_.GenomeWideSNP_6.	33	yes
X20100331_MART_MM_SNP59_.GenomeWideSNP_6.	263	yes
X20090728_MART_MM_SNP24bis_.GenomeWideSNP_6.	40	yes
X20090728_MART_MM_SNP26_.GenomeWideSNP_6.	55	yes
X20100108_MART_MM_SNP44_.GenomeWideSNP_6.	197	yes
X20090520_MM10_SNP6.0_.GenomeWideSNP_6.	55	yes
X20100108_MART_MM_SNP51_.GenomeWideSNP_6.	93	yes
X20090728_MART_MM_SNP28_.GenomeWideSNP_6.	38	yes
X20100205_MART_MM_SNP39_.GenomeWideSNP_6._2	69	yes
X20090520_MM11_SNP6.0_.GenomeWideSNP_6.	112	yes
X20110905_MART_MM_SNP108_.GenomeWideSNP_6.	52	yes
X20110920_MART_MM_SNP122_.GenomeWideSNP_6.	47	yes
X20090422_MM8_SNP6.0_.GenomeWideSNP_6.	55	yes
X20111212_MART_MM_SNP165_.GenomeWideSNP_6.	44	yes
X20111212_MART_MM_SNP166_.GenomeWideSNP_6.	38	yes
X20110920_MART_MM_SNP131_.GenomeWideSNP_6.	111	yes
X20100108_MART_MM_SNP52_.GenomeWideSNP_6.	138	yes
X20100331_MART_MM_SNP65_.GenomeWideSNP_6.	80	yes
X20090728_MART_MM_SNP27_.GenomeWideSNP_6.	44	yes
X20090728_MART_MM_SNP30_.GenomeWideSNP_6.	45	yes
X20111212_MART_MM_SNP161_.GenomeWideSNP_6.	62	yes
X20090604_MM17_SNP6.0_.GenomeWideSNP_6.	40	yes
X20090604_MM18_SNP6.0_.GenomeWideSNP_6.	54	yes
X20100210_MART_MM_SNP54_.GenomeWideSNP_6.	55	yes
X20111212_MART_MM_SNP162_.GenomeWideSNP_6.	93	yes
X20100205_MART_MM_SNP34_.GenomeWideSNP_6.	59	yes
X20100205_MART_MM_SNP35_.GenomeWideSNP_6.	57	yes
X20111212_MART_MM_SNP163_.GenomeWideSNP_6.	54	yes
X20100331_MART_MM_SNP61_.GenomeWideSNP_6.	62	yes
X20110920_MART_MM_SNP119_.GenomeWideSNP_6.	42	yes
X20110920_MART_MM_SNP123_.GenomeWideSNP_6.	68	yes
X20100108_MART_MM_SNP47_.GenomeWideSNP_6.	39	yes
X20090728_MART_MM_SNP33_.GenomeWideSNP_6.	51	yes
X20110920_MART_MM_SNP124_.GenomeWideSNP_6.	53	yes
X20110920_MART_MM_SNP125_.GenomeWideSNP_6.	57	yes
X20100210_MART_MM_SNP57_.GenomeWideSNP_6.	34	yes
X20090728_MART_MM_SNP23bis_.GenomeWideSNP_6.	44	yes
X20090520_MM13_SNP6.0_.GenomeWideSNP_6.	55	yes
X20100108_MART_MM_SNP45_.GenomeWideSNP_6.	77	yes
X20110920_MART_MM_SNP126_.GenomeWideSNP_6.	47	yes
X20090728_MART_MM_SNP20bis_.GenomeWideSNP_6.	61	yes
X20100205_MART_MM_SNP40_.GenomeWideSNP_6._2	42	yes
X20100210_MART_MM_SNP55_.GenomeWideSNP_6.	125	yes
X20090520_MM14_SNP6.0_.GenomeWideSNP_6.	76	yes
X20100210_MART_MM_SNP58_.GenomeWideSNP_6.	103	yes
X20100108_MART_MM_SNP42_.GenomeWideSNP_6.	66	yes
X20090728_MART_MM_SNP31_.GenomeWideSNP_6.	77	yes
X20100205_MART_MM_SNP41_.GenomeWideSNP_6._2	43	yes
X20110920_MART_MM_SNP127_.GenomeWideSNP_6.	50	yes
X20090121_MM03_SNP6.0_.GenomeWideSNP_6.	53	yes
X20100205_MART_MM_SNP37_.GenomeWideSNP_6.	50	yes
X20110714_MART_MM_SNP101_.GenomeWideSNP_6.	61	yes
